ID,DATE,VTG,E2,Testosterone,BHB,Follicles,Note
HA4819,3/7/2013,35.54,278.32,914.90,0.66,Y,Gravid
HA4845,3/8/2011,58.38,5235.54,839.60,1.12,Y,Gravid
HA4872,3/4/2013,41.11,1623.73,1022.00,1.33,Y,Gravid
W1827,3/5,26.55,1938.10,1453.00,1.05,NA,Gravid
W1833,3/5/2003,34.16,1390.42,3321.00,0.89,NA,Gravid
W1847,3/4/2003,57.76,592.52,1442.00,0.69,NA,Gravid
W1899,3/6/2003,21.53,30.15,279.00,0.40,NA,Gravid
W1990,3/10/2004,23.38,5412.48,1892.00,1.55,NA,Gravid
X5936,3/6/2003,15.08,855.34,1918.00,0.92,NA,Gravid
X5969,3/5/2003,11.16,2344.73,1813.00,0.71,NA,Gravid
X7460,3/4/2013,50.74,2702.58,1268.60,1.37,Y,Gravid
HA4807,3/9/2011,0.01,18.58,247.80,0.37,N,Non-gravid
HA4831,3/3/2013,0.01,1790.25,169.50,0.36,N,Non-gravid
HA4846,3/6/2013,8.71,151.15,115.00,0.36,N,Non-gravid
HA4869,3/7/2011,9.16,129.07,165.90,0.51,YNB,Non-gravid
HA4885,3/4/2013,4.34,71.04,114.70,0.51,YNB,Non-gravid
HA4886,3/8/2011,2.93,NA,193.80,0.93,YNB,Non-gravid
HA4890,3/7/2011,0.00,0.86,137.30,0.57,YAF,Non-gravid
HA4894,3/7/2011,5.14,229.78,189.30,0.24,Y,Non-gravid
HA5006,3/3/2013,0.00,253.44,138.60,0.51,N,Non-gravid
HA7105,3/4/2013,0.01,56.87,144.60,0.43,N,Non-gravid
HA7112,3/3/2013,5.58,852.47,124.60,0.51,N,Non-gravid
HA7173,3/5/2013,3.20,38.66,130.60,0.43,N,Non-gravid
W1835,3/4/2003,0.01,71.90,282.80,0.40,NA,Non-gravid
W1852,3/9/2004,3.86,2389.88,301.20,0.34,NA,Non-gravid
W1871,3/4/2003,4.64,296.31,319.00,0.40,NA,Non-gravid
W1874,3/7/2003,0.00,73.65,6898.00,0.38,NA,Non-gravid
W1891'03,3/11/2004,2.30,39.38,394.00,0.39,NA,Non-gravid
W1891'04,3/5/2003,3.72,281.17,347.60,0.45,NA,Non-gravid
W1935,3/6,0.01,NA,318.10,0.34,NA,Non-gravid
W1962,3/9/2004,3.91,NA,265.60,0.40,NA,Non-gravid
W1980,3/5/2013,7.10,96.59,119.40,0.53,N,Non-gravid
W1990'11,3/6/2011,3.14,4.23,233.80,0.32,YAF,Non-gravid
W2245,3/5/2013,4.28,69.32,151.60,0.58,N,Non-gravid
W9175,3/5/2013,5.37,67.61,204.80,0.49,YNBIM,Non-gravid
X5664,3/7/2003,4.46,270.79,300.90,0.35,NA,Non-gravid
X5685,3/9/2004,5.54,617.63,332.10,0.48,NA,Non-gravid
X5840,3/6,0.00,9.05,2480.00,0.29,NA,Non-gravid
X5894'04,3/8/2004,7.10,1693.52,374.30,0.38,NA,Non-gravid
X5894'01,3/1/2001,6.77,59.29,320.90,0.31,NA,Non-gravid
X5936'04,3/8/2004,5.04,730.01,245.40,0.22,NA,Non-gravid
X7475,3/4/2003,7.26,63.41,570.70,0.30,NA,Non-gravid
X7649,3/7/2003,4.31,NA,263.30,0.34,NA,Non-gravid
YYK032,3/5/2013,5.14,64.24,117.80,0.26,YAF,Non-gravid
